interLMdistanceA,interLMdistanceB,interLMdistanceC,interLMdistanceD,interLMdistanceE,interLMdistanceF,interLMdistanceG,interLMdistanceH,interLMdistanceI,interLMdistanceJ
12.8,2.94,7,0.74,2.3,0.91,4.57,-1.78,-2.97,-0.87
2.94,14.07,6.63,-3.36,7.59,5.74,3.7,1.82,0.22,-1.13
7,6.63,27.31,14.29,9.81,11.09,15.85,2.12,5.25,3.14
0.74,-3.36,14.29,34.89,12.33,25.48,7.22,6.26,17.86,12.1
2.3,7.59,9.81,12.33,27.96,19.39,14.09,12.68,6.27,-8.67
0.91,5.74,11.09,25.48,19.39,30.36,13.75,8.06,17.71,10.14
4.57,3.7,15.85,7.22,14.09,13.75,29.61,-0.5,1.6,1.11
-1.78,1.82,2.12,6.26,12.68,8.06,-0.5,15.19,9.83,-5.2
-2.97,0.22,5.25,17.86,6.27,17.71,1.6,9.83,21.15,11.15
-0.87,-1.13,3.14,12.1,-8.67,10.14,1.11,-5.2,11.15,18.82
