age.at.primaparity,longevity,lifetime.fecundity,lifetime.weaning.success,lifetime.reproductive.success,fecundity.between.2.&.7.yrs,weaning.success.between.2.&.7.yrs,reproductive.success.between.2.&.7.yrs,weaning.success.after.7.yrs,adult.body.mass
1,0.2,0.5,0.51,0.58,0.58,0.49,0.54,0.53,-0.09
0.2,1,0.94,0.88,0.73,0.82,0.74,0.58,0.82,0.08
0.5,0.94,1,0.95,0.82,0.92,0.86,0.7,0.84,0.03
0.51,0.88,0.95,1,0.87,0.87,0.91,0.75,0.87,0.04
0.58,0.73,0.82,0.87,1,0.75,0.79,0.91,0.69,-0.07
0.58,0.82,0.92,0.87,0.75,1,0.91,0.72,0.49,0.04
0.49,0.74,0.86,0.91,0.79,0.91,1,0.77,0.46,0.01
0.54,0.58,0.7,0.75,0.91,0.72,0.77,1,0.41,-0.06
0.53,0.82,0.84,0.87,0.69,0.49,0.46,0.41,1,0.01
-0.09,0.08,0.03,0.04,-0.07,0.04,0.01,-0.06,0.01,1
