ovule.no,seed.no,seed.mass,anther.no,pollen.no,pollen.size,anthers.per.ovule,pollen.per.ovule,petal.no,petal.size
1,0.185,-0.227,-0.193,0.042,-0.222,0,0,-0.065,0.226
0.185,1,-0.347,-0.014,-0.281,0.112,-0.11,-0.299,-0.093,-0.09
-0.227,-0.347,1,0.325,0.22,0.217,0.385,0.26,0.253,-0.076
-0.193,-0.014,0.325,1,0.054,0.021,0,0.087,0.093,-0.278
0.042,-0.281,0.22,0.054,1,0.087,0.086,0,0.047,-0.073
-0.222,0.112,0.217,0.021,0.087,1,0.11,0.086,0.197,-0.126
0,-0.11,0.385,0,0.086,0.11,1,0.219,0.147,-0.297
0,-0.299,0.26,0.087,0,0.086,0.219,1,0.018,-0.149
-0.065,-0.093,0.253,0.093,0.047,0.197,0.147,0.018,1,0.136
0.226,-0.09,-0.076,-0.278,-0.073,-0.126,-0.297,-0.149,0.136,1
