"ovule.no","seed.no","seed.mass","anther.no","pollen.no","pollen.size","anthers.per.ovule","pollen.per.ovule","petal.no","petal.size"
1,0.358,-0.085,0.052,0.157,-0.056,0,0,0.442,0.42
0.358,1,-0.147,-0.009,0.125,-0.227,-0.234,-0.155,0.287,0.096
-0.085,-0.147,1,0.024,-0.352,0.053,0.032,-0.261,0.07,-0.188
0.052,-0.009,0.024,1,0.141,0.01,0,0.106,-0.145,0.055
0.157,0.125,-0.352,0.141,1,-0.073,0.103,0,-0.224,0.149
-0.056,-0.227,0.053,0.01,-0.073,1,-0.041,0.026,-0.158,-0.137
0,-0.234,0.032,0,0.103,-0.041,1,0.388,-0.429,-0.193
0,-0.155,-0.261,0.106,0,0.026,0.388,1,-0.46,-0.03
0.442,0.287,0.07,-0.145,-0.224,-0.158,-0.429,-0.46,1,0.367
0.42,0.096,-0.188,0.055,0.149,-0.137,-0.193,-0.03,0.367,1
