"interLMdistanceA","interLMdistanceB","interLMdistanceC","interLMdistanceD","interLMdistanceE","interLMdistanceF","interLMdistanceG","interLMdistanceH","interLMdistanceI","interLMdistanceJ"
1,0.219076249249148,0.374396866370635,0.0350167834303982,0.121577796437311,0.0461620964309878,0.234742654618482,-0.12765450048629,-0.180507926978645,-0.0560537223810662
0.219076249249148,1,0.338224940940687,-0.151649765801046,0.382671521946236,0.277724350684975,0.181273980649085,0.124493148990743,0.0127532374630492,-0.069441898426148
0.374396866370635,0.338224940940687,1,0.46293593518513,0.355009172132214,0.385141052121555,0.557377216995927,0.104086911913269,0.218445582919964,0.138502938786985
0.0350167834303982,-0.151649765801046,0.46293593518513,1,0.394769878823822,0.782885150022531,0.22462987174837,0.271922385511083,0.657469762292075,0.472199014168058
0.121577796437311,0.382671521946236,0.355009172132214,0.394769878823822,1,0.665515756201827,0.489692221884839,0.615278561634413,0.257836128481751,-0.377955530308789
0.0461620964309878,0.277724350684975,0.385141052121555,0.782885150022531,0.665515756201827,1,0.458598479904235,0.375323079705125,0.69889589836638,0.424206444356323
0.234742654618482,0.181273980649085,0.557377216995927,0.22462987174837,0.489692221884839,0.458598479904235,1,-0.0235760972188119,0.0639360192702424,0.0470212278520698
-0.12765450048629,0.124493148990743,0.104086911913269,0.271922385511083,0.615278561634413,0.375323079705125,-0.0235760972188119,1,0.548427779578216,-0.307549232212435
-0.180507926978645,0.0127532374630492,0.218445582919964,0.657469762292075,0.257836128481751,0.69889589836638,0.0639360192702424,0.548427779578216,1,0.558868809101708
-0.0560537223810662,-0.069441898426148,0.138502938786985,0.472199014168058,-0.377955530308789,0.424206444356323,0.0470212278520698,-0.307549232212435,0.558868809101708,1
